Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Sexe,Nacionalitat,Edat_quinquennal,Nombre
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,40-44 anys,55
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,40-44 anys,216
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,40-44 anys,114
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,40-44 anys,172
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,40-44 anys,387
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,40-44 anys,258
2019,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,40-44 anys,121
2019,6,Gràcia,29,el Coll,Dona,Estrangera,40-44 anys,76
2019,6,Gràcia,30,la Salut,Dona,Estrangera,40-44 anys,101
2019,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,40-44 anys,584
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,40-44 anys,283
2019,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,40-44 anys,189
2019,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,40-44 anys,79
2019,7,Horta-Guinardó,35,el Guinardó,Dona,Estrangera,40-44 anys,349
2019,7,Horta-Guinardó,36,la Font d'en Fargues,Dona,Estrangera,40-44 anys,51
2019,7,Horta-Guinardó,37,el Carmel,Dona,Estrangera,40-44 anys,318
2019,7,Horta-Guinardó,38,la Teixonera,Dona,Estrangera,40-44 anys,101
2019,7,Horta-Guinardó,39,Sant Genís dels Agudells,Dona,Estrangera,40-44 anys,53
2019,7,Horta-Guinardó,40,Montbau,Dona,Estrangera,40-44 anys,42
2019,7,Horta-Guinardó,41,la Vall d'Hebron,Dona,Estrangera,40-44 anys,21
2019,7,Horta-Guinardó,42,la Clota,Dona,Estrangera,40-44 anys,4
2019,7,Horta-Guinardó,43,Horta,Dona,Estrangera,40-44 anys,188
2019,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Dona,Estrangera,40-44 anys,205
2019,8,Nou Barris,45,Porta,Dona,Estrangera,40-44 anys,320
2019,8,Nou Barris,46,el Turó de la Peira,Dona,Estrangera,40-44 anys,185
2019,8,Nou Barris,47,Can Peguera,Dona,Estrangera,40-44 anys,16
2019,8,Nou Barris,48,la Guineueta,Dona,Estrangera,40-44 anys,106
2019,8,Nou Barris,49,Canyelles,Dona,Estrangera,40-44 anys,24
2019,8,Nou Barris,50,les Roquetes,Dona,Estrangera,40-44 anys,186
2019,8,Nou Barris,51,Verdun,Dona,Estrangera,40-44 anys,138
2019,8,Nou Barris,52,la Prosperitat,Dona,Estrangera,40-44 anys,220
2019,8,Nou Barris,53,la Trinitat Nova,Dona,Estrangera,40-44 anys,87
2019,8,Nou Barris,54,Torre Baró,Dona,Estrangera,40-44 anys,30
2019,8,Nou Barris,55,Ciutat Meridiana,Dona,Estrangera,40-44 anys,157
2019,8,Nou Barris,56,Vallbona,Dona,Estrangera,40-44 anys,11
2019,9,Sant Andreu,57,la Trinitat Vella,Dona,Estrangera,40-44 anys,145
2019,9,Sant Andreu,58,Baró de Viver,Dona,Estrangera,40-44 anys,22
2019,9,Sant Andreu,59,el Bon Pastor,Dona,Estrangera,40-44 anys,117
2019,9,Sant Andreu,60,Sant Andreu,Dona,Estrangera,40-44 anys,271
2019,9,Sant Andreu,61,la Sagrera,Dona,Estrangera,40-44 anys,200
2019,9,Sant Andreu,62,el Congrés i els Indians,Dona,Estrangera,40-44 anys,125
2019,9,Sant Andreu,63,Navas,Dona,Estrangera,40-44 anys,194
2019,10,Sant Martí,64,el Camp de l'Arpa del Clot,Dona,Estrangera,40-44 anys,334
2019,10,Sant Martí,65,el Clot,Dona,Estrangera,40-44 anys,194
2019,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Dona,Estrangera,40-44 anys,181
2019,10,Sant Martí,67,la Vila Olímpica del Poblenou,Dona,Estrangera,40-44 anys,106
2019,10,Sant Martí,68,el Poblenou,Dona,Estrangera,40-44 anys,426
2019,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Dona,Estrangera,40-44 anys,161
2019,10,Sant Martí,70,el Besòs i el Maresme,Dona,Estrangera,40-44 anys,300
2019,10,Sant Martí,71,Provençals del Poblenou,Dona,Estrangera,40-44 anys,182
2019,10,Sant Martí,72,Sant Martí de Provençals,Dona,Estrangera,40-44 anys,207
2019,10,Sant Martí,73,la Verneda i la Pau,Dona,Estrangera,40-44 anys,207
2019,1,Ciutat Vella,1,el Raval,Dona,Estrangera,45-49 anys,698
2019,1,Ciutat Vella,2,el Barri Gòtic,Dona,Estrangera,45-49 anys,200
2019,1,Ciutat Vella,3,la Barceloneta,Dona,Estrangera,45-49 anys,112
2019,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Dona,Estrangera,45-49 anys,270
2019,2,Eixample,5,el Fort Pienc,Dona,Estrangera,45-49 anys,236
2019,2,Eixample,6,la Sagrada Família,Dona,Estrangera,45-49 anys,370
2019,2,Eixample,7,la Dreta de l'Eixample,Dona,Estrangera,45-49 anys,370
2019,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Dona,Estrangera,45-49 anys,330
2019,2,Eixample,9,la Nova Esquerra de l'Eixample,Dona,Estrangera,45-49 anys,345
2019,2,Eixample,10,Sant Antoni,Dona,Estrangera,45-49 anys,282
2019,3,Sants-Montjuïc,11,el Poble Sec,Dona,Estrangera,45-49 anys,391
2019,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Dona,Estrangera,45-49 anys,7
2019,3,Sants-Montjuïc,13,la Marina de Port,Dona,Estrangera,45-49 anys,215
2019,3,Sants-Montjuïc,14,la Font de la Guatlla,Dona,Estrangera,45-49 anys,70
2019,3,Sants-Montjuïc,15,Hostafrancs,Dona,Estrangera,45-49 anys,133
2019,3,Sants-Montjuïc,16,la Bordeta,Dona,Estrangera,45-49 anys,113
2019,3,Sants-Montjuïc,17,Sants - Badal,Dona,Estrangera,45-49 anys,185
2019,3,Sants-Montjuïc,18,Sants,Dona,Estrangera,45-49 anys,273
2019,4,Les Corts,19,les Corts,Dona,Estrangera,45-49 anys,212
2019,4,Les Corts,20,la Maternitat i Sant Ramon,Dona,Estrangera,45-49 anys,119
2019,4,Les Corts,21,Pedralbes,Dona,Estrangera,45-49 anys,120
2019,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Dona,Estrangera,45-49 anys,52
2019,5,Sarrià-Sant Gervasi,23,Sarrià,Dona,Estrangera,45-49 anys,198
2019,5,Sarrià-Sant Gervasi,24,les Tres Torres,Dona,Estrangera,45-49 anys,103
2019,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Dona,Estrangera,45-49 anys,167
2019,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Dona,Estrangera,45-49 anys,312
2019,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Dona,Estrangera,45-49 anys,167
2019,6,Gràcia,28,Vallcarca i els Penitents,Dona,Estrangera,45-49 anys,77
2019,6,Gràcia,29,el Coll,Dona,Estrangera,45-49 anys,48
2019,6,Gràcia,30,la Salut,Dona,Estrangera,45-49 anys,67
2019,6,Gràcia,31,la Vila de Gràcia,Dona,Estrangera,45-49 anys,337
2019,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Dona,Estrangera,45-49 anys,164
2019,7,Horta-Guinardó,33,el Baix Guinardó,Dona,Estrangera,45-49 anys,135
2019,7,Horta-Guinardó,34,Can Baró,Dona,Estrangera,45-49 anys,46
